"period";"value";"obs_status";"source";"ref_area";"freq";"unit_measure";"unit_mult"
"2021-10-01";-8;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2021-11-01";23;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2021-12-01";16;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2022-01-01";34;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2022-02-01";28;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2022-03-01";9;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2022-04-01";21;"A";"Данные СберИндекса";"Тульская область";"Месяц";"% г/г";"0"
"2019-01-01";14;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-02-01";42;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-03-01";47;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-04-01";51;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-05-01";61;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-06-01";46;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-07-01";26;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-08-01";20;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-09-01";37;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-10-01";45;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-11-01";55;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2019-12-01";67;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-01-01";52;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-02-01";27;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-03-01";13;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-04-01";-62;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-05-01";-63;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-06-01";-31;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-07-01";-23;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-08-01";-15;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-09-01";5;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-10-01";-10;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-11-01";-22;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2020-12-01";-14;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-01-01";-7;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-02-01";-8;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-03-01";63;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-04-01";276;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-05-01";295;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-06-01";122;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-07-01";66;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-08-01";60;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-09-01";15;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
"2021-10-01";46;"A";"Данные СберИндекса";"Республика Северная Осетия — Алания";"Месяц";"% г/г";"0"
